cid,MolecularFormula,MolecularWeight,InChI,IUPACName,XLogP,ExactMass,INCHIKEY,ENVIRONMENTAL_CON_ID,SITE_CODE,ENVIRONMENTAL_COMPARTMENT,SAMPLE_DATE,STRESSOR_ID,STRESSOR_NAME,CAS,MEASURED_VALUE,MEASURED_UNIT,SITE_NAME,LATITUDE,LONGITUDE,COORDINATE_SYSTEM
56841558,C83H132N2O20,1477.9,"InChI=1S/C42H67NO10.C41H65NO10/c1-11-26-13-12-14-35(53-37-16-15-34(43(6)7)24(4)49-37)23(3)38(45)33-20-31-29(32(33)21-36(44)51-26)17-22(2)28-18-27(19-30(28)31)52-42-41(48-10)40(47-9)39(46-8)25(5)50-42;1-10-26-12-11-13-34(52-36-17-16-33(42(5)6)23(3)48-36)22(2)37(44)32-20-30-28(31(32)21-35(43)50-26)15-14-25-18-27(19-29(25)30)51-41-40(47-9)39(46-8)38(45-7)24(4)49-41/h17,20,23-32,34-35,37,39-42H,11-16,18-19,21H2,1-10H3;14-15,20,22-31,33-34,36,38-41H,10-13,16-19,21H2,1-9H3/t23-,24-,25+,26+,27-,28+,29-,30-,31-,32+,34+,35?,37+,39+,40-,41-,42+;22-,23-,24+,25-,26+,27-,28-,29-,30-,31+,33+,34?,36+,38+,39-,40-,41+/m11/s1","(1S,2S,5R,7S,9S,10S,14R,19S)-15-[(2R,5S,6R)-5-(dimethylamino)-6-methyloxan-2-yl]oxy-19-ethyl-4,14-dimethyl-7-[(2R,3R,4R,5S,6S)-3,4,5-trimethoxy-6-methyloxan-2-yl]oxy-20-oxatetracyclo[10.10.0.02,10.05,9]docosa-3,11-diene-13,21-dione;(1S,2R,5S,7R,9R,10S,14R,19S)-15-[(2R,5S,6R)-5-(dimethylamino)-6-methyloxan-2-yl]oxy-19-ethyl-14-methyl-7-[(2R,3R,4R,5S,6S)-3,4,5-trimethoxy-6-methyloxan-2-yl]oxy-20-oxatetracyclo[10.10.0.02,10.05,9]docosa-3,11-diene-13,21-dione",,1476.93734460,JFLRKDZMHNBDQS-GQHNJWLYSA-N,576982,VASSHAGLONA,Freshwater,2019-06-03T00:00:00Z,2763926,spinosad,NA,0.034,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
92389,C12H9ClN2O3,264.66,"InChI=1S/C12H9ClN2O3/c13-11-10(18-8-4-2-1-3-5-8)7-6-9(12(11)14)15(16)17/h1-7H,14H2",2-chloro-6-nitro-3-phenoxyaniline,3.8,264.0301698,DDBMQDADIHOWIC-UHFFFAOYSA-N,576983,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,59,aclonifen,74070-46-5,0.13,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
2328,C10H12N2O3S,240.28,"InChI=1S/C10H12N2O3S/c1-7(2)12-10(13)8-5-3-4-6-9(8)11-16(12,14)15/h3-7,11H,1-2H3","2,2-dioxo-3-propan-2-yl-1H-2lambda6,1,3-benzothiadiazin-4-one",2.8,240.05686342,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,576984,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,99,bentazone,12705-05-4,0.019,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
213013,C18H12Cl2N2O,343.2,"InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)",2-chloro-N-[2-(4-chlorophenyl)phenyl]pyridine-3-carboxamide,4.9,342.0326684,WYEMLYFITZORAB-UHFFFAOYSA-N,576985,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,124,boscalid,188425-85-6,0.15,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
9862076,C13H13ClN4O2S,324.79,"InChI=1S/C13H13ClN4O2S/c1-9-4-6-10(7-5-9)12-13(14)16-11(8-15)18(12)21(19,20)17(2)3/h4-7H,1-3H3","4-chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)imidazole-1-sulfonamide",2.6,324.0447745,YXKMMRDKEKCERS-UHFFFAOYSA-N,576986,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,934,cyazofamid,120116-88-3,0.052,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
86367,C14H15N3,225.29,"InChI=1S/C14H15N3/c1-10-9-13(11-7-8-11)17-14(15-10)16-12-5-3-2-4-6-12/h2-6,9,11H,7-8H2,1H3,(H,15,16,17)",4-cyclopropyl-6-methyl-N-phenylpyrimidin-2-amine,3.1,225.126597491,HAORKNGNJCEJBX-UHFFFAOYSA-N,576987,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,957,cyprodinil,121552-61-2,0.071,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
10403199,C17H17N3OS,311.4,"InChI=1S/C17H17N3OS/c1-17(13-9-5-3-6-10-13)15(21)20(16(18-17)22-2)19-14-11-7-4-8-12-14/h3-12,19H,1-2H3/t17-/m0/s1",(5S)-3-anilino-5-methyl-2-methylsulfanyl-5-phenylimidazol-4-one,4.1,311.10923335,LMVPQMGRYSRMIW-KRWDZBQOSA-N,576988,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,1203,fenamidone,161326-34-7,0.057,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
86398,C12H6F2N2O2,248.18,"InChI=1S/C12H6F2N2O2/c13-12(14)17-10-3-1-2-8(11(10)18-12)9-6-16-5-7(9)4-15/h1-3,5-6,16H","4-(2,2-difluoro-1,3-benzodioxol-4-yl)-1H-pyrrole-3-carbonitrile",2.6,248.03973376,MUJOIMFVNIBMKC-UHFFFAOYSA-N,576989,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,280,fludioxonil,131341-86-1,0.037,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
86418,C9H10ClN5O2,255.66,"InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)","N-[1-[(6-chloropyridin-3-yl)methyl]-4,5-dihydroimidazol-2-yl]nitramide",0.8,255.0523023,YWTYJOPNNQFBPC-UHFFFAOYSA-N,576990,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,316,imidacloprid,105827-78-9,0.027,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
54778,C12H14ClNO2,239.70,"InChI=1S/C12H14ClNO2/c1-12(2)8-16-14(11(12)15)7-9-5-3-4-6-10(9)13/h3-6H,7-8H2,1-2H3","2-[(2-chlorophenyl)methyl]-4,4-dimethyl-1,2-oxazolidin-3-one",2.5,239.0713064,KIEDNEWSYUYDSN-UHFFFAOYSA-N,576991,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,175,clomazone,81777-89-1,0.063,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
11292824,C23H22ClNO4,411.9,"InChI=1S/C23H22ClNO4/c1-4-14-28-20-11-6-17(16-21(20)27-3)12-13-25-23(26)22(29-15-5-2)18-7-9-19(24)10-8-18/h1-2,6-11,16,22H,12-15H2,3H3,(H,25,26)",2-(4-chlorophenyl)-N-[2-(3-methoxy-4-prop-2-ynoxyphenyl)ethyl]-2-prop-2-ynoxyacetamide,3.9,411.1237359,KWLVWJPJKJMCSH-UHFFFAOYSA-N,576992,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,1173262,mandipropamid,374726-62-2,0.13,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
7204,C9H9ClO3,200.62,"InChI=1S/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)",2-(4-chloro-2-methylphenoxy)acetic acid,2.6,200.0240218,WHKUVVPPKQRRBV-UHFFFAOYSA-N,576993,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,21,2-methyl-4-chlorophenoxyacetic acid (MCPA),3307-39-9,0.012,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
30479,C8H14N4OS,214.29,"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3","4-amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one",1.7,214.08883226,FOXFZRUHNHCZPX-UHFFFAOYSA-N,576994,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,1297,metribuzin,21087-64-9,0.19,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
91692,C19H21ClN2O,328.8,"InChI=1S/C19H21ClN2O/c20-16-12-10-15(11-13-16)14-22(18-8-4-5-9-18)19(23)21-17-6-2-1-3-7-17/h1-3,6-7,10-13,18H,4-5,8-9,14H2,(H,21,23)",1-[(4-chlorophenyl)methyl]-1-cyclopentyl-3-phenylurea,4.8,328.1342410,OGYFATSSENRIKG-UHFFFAOYSA-N,576995,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,2312,pencycuron,66063-05-6,0.17,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
32490,C9H20N2O2,188.27,"InChI=1S/C9H20N2O2/c1-4-8-13-9(12)10-6-5-7-11(2)3/h4-8H2,1-3H3,(H,10,12)",propyl N-[3-(dimethylamino)propyl]carbamate,1.2,188.152477885,WZZLDXDUQPOXNW-UHFFFAOYSA-N,576996,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,515,propamocarb,24579-73-5,0.092,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
92316,C10H7ClN2O,206.63,"InChI=1S/C10H7ClN2O/c11-9-6-8(14)10(13-12-9)7-4-2-1-3-5-7/h1-6H,(H,12,14)",6-chloro-3-phenyl-1H-pyridazin-4-one,2.4,206.0246905,ZUSHSDOEVHPTCU-UHFFFAOYSA-N,576997,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,2394,pyridafol,40020-01-7,0.13,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
115224,C10H9ClN4S,252.72,"InChI=1S/C10H9ClN4S/c11-9-2-1-8(5-13-9)6-15-3-4-16-10(15)14-7-12/h1-2,5H,3-4,6H2","[3-[(6-chloropyridin-3-yl)methyl]-1,3-thiazolidin-2-ylidene]cyanamide",2.2,252.0236452,HOKKPVIRMVDYPB-UHFFFAOYSA-N,576998,VASSHAGLONA,Freshwater,2019-06-17T00:00:00Z,2562866,thiacloprid,111988-49-9,0.12,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
92389,C12H9ClN2O3,264.66,"InChI=1S/C12H9ClN2O3/c13-11-10(18-8-4-2-1-3-5-8)7-6-9(12(11)14)15(16)17/h1-7H,14H2",2-chloro-6-nitro-3-phenoxyaniline,3.8,264.0301698,DDBMQDADIHOWIC-UHFFFAOYSA-N,576999,VASSHAGLONA,Freshwater,2019-07-01T00:00:00Z,59,aclonifen,74070-46-5,0.033,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
2328,C10H12N2O3S,240.28,"InChI=1S/C10H12N2O3S/c1-7(2)12-10(13)8-5-3-4-6-9(8)11-16(12,14)15/h3-7,11H,1-2H3","2,2-dioxo-3-propan-2-yl-1H-2lambda6,1,3-benzothiadiazin-4-one",2.8,240.05686342,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,577000,VASSHAGLONA,Freshwater,2019-07-01T00:00:00Z,99,bentazone,12705-05-4,0.023,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
213013,C18H12Cl2N2O,343.2,"InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)",2-chloro-N-[2-(4-chlorophenyl)phenyl]pyridine-3-carboxamide,4.9,342.0326684,WYEMLYFITZORAB-UHFFFAOYSA-N,577001,VASSHAGLONA,Freshwater,2019-07-01T00:00:00Z,124,boscalid,188425-85-6,0.048,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
86367,C14H15N3,225.29,"InChI=1S/C14H15N3/c1-10-9-13(11-7-8-11)17-14(15-10)16-12-5-3-2-4-6-12/h2-6,9,11H,7-8H2,1H3,(H,15,16,17)",4-cyclopropyl-6-methyl-N-phenylpyrimidin-2-amine,3.1,225.126597491,HAORKNGNJCEJBX-UHFFFAOYSA-N,577002,VASSHAGLONA,Freshwater,2019-07-01T00:00:00Z,957,cyprodinil,121552-61-2,0.012,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
10403199,C17H17N3OS,311.4,"InChI=1S/C17H17N3OS/c1-17(13-9-5-3-6-10-13)15(21)20(16(18-17)22-2)19-14-11-7-4-8-12-14/h3-12,19H,1-2H3/t17-/m0/s1",(5S)-3-anilino-5-methyl-2-methylsulfanyl-5-phenylimidazol-4-one,4.1,311.10923335,LMVPQMGRYSRMIW-KRWDZBQOSA-N,577003,VASSHAGLONA,Freshwater,2019-07-01T00:00:00Z,1203,fenamidone,161326-34-7,0.36,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
86398,C12H6F2N2O2,248.18,"InChI=1S/C12H6F2N2O2/c13-12(14)17-10-3-1-2-8(11(10)18-12)9-6-16-5-7(9)4-15/h1-3,5-6,16H","4-(2,2-difluoro-1,3-benzodioxol-4-yl)-1H-pyrrole-3-carbonitrile",2.6,248.03973376,MUJOIMFVNIBMKC-UHFFFAOYSA-N,577004,VASSHAGLONA,Freshwater,2019-07-01T00:00:00Z,280,fludioxonil,131341-86-1,0.014,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
